#Organism/Name	Strain	CladeID	BioSample	BioProject	Group	SubGroup	Assembly	Size (Mb)	GC%	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Level	RefSeq FTP	GenBank FTP
Synechococcus sp. WH 8102	WH 8102	19196	SAMEA3138327 	PRJNA230	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000195975.1 	2.43443	59.4	chromosome:NC_005070.1/BX548020.1	-	1	2552	2461	2003/08/14	2015/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000195975.1_ASM19597v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000195975.1_ASM19597v1
Synechococcus sp. PCC 6312	PCC 6312	21552	SAMN02261337 	PRJNA158717	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000316685.1 	3.7205	48.4881	chromosome:NC_019680.1/CP003558.1; plasmid pSYN6312.01:NC_019681.1/CP003559.1	-	2	3605	3484	2012/12/04	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000316685.1_ASM31668v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000316685.1_ASM31668v1
Synechococcus sp. PCC 7502	PCC 7502	21547	SAMN02261356 	PRJNA159509	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000317085.1 	3.58373	40.6019	chromosome:NC_019702.1/CP003594.1; plasmid pSYN7502.01:NC_019691.1/CP003595.1; plasmid pSYN7502.02:NC_019692.1/CP003596.1	-	3	3598	3442	2012/12/05	2015/08/14	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000317085.1_ASM31708v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000317085.1_ASM31708v1
Synechococcus sp. PCC 7336	PCC 7336	21529	SAMN02261338 	PRJNA158719	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000332275.1 	5.06664	53.7	chromosome:NZ_CM001776.1/CM001776.1	ALWC01	1	4415	4249	2013/01/18	2015/08/14	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000332275.1_ASM33227v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000332275.1_ASM33227v1
Synechococcus sp. CC9605	CC9605	19197	SAMN02598311 	PRJNA13643	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000012625.1 	2.51066	59.2	chromosome:NC_007516.1/CP000110.1	-	1	2674	2583	2005/10/27	2015/07/30	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000012625.1_ASM1262v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000012625.1_ASM1262v1
Synechococcus sp. WH 8109	WH 8109	19197	SAMN02436260 	PRJNA37911	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000161795.2 	2.11151	60.1	chromosome:NZ_CP006882.1/CP006882.1	-	1	2254	2167	2014/01/09	2015/08/18	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000161795.2_ASM16179v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000161795.2_ASM16179v2
Synechococcus sp. UTEX 2973	UTEX 2973	19206	SAMN03278348 	PRJNA209528	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_000817325.1 	2.74463	55.4675	chromosome:NZ_CP006471.1/CP006471.1; plasmid unnamed:NZ_CP006472.1/CP006472.1; plasmid unnamed:NZ_CP006473.1/CP006473.1	-	3	2711	2655	2015/01/09	2015/08/17	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_000817325.1_ASM81732v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_000817325.1_ASM81732v1
Synechococcus sp. WH 8103		19196	SAMEA3233744 	PRJEB8389	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001182765.1 	2.42969	59.5	chromosome 1:NZ_LN847356.1/LN847356.1	-	1	2523	2436	2015/07/09	2015/08/21	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001182765.1_WH8103.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001182765.1_WH8103.1
Synechococcus sp. PCC 73109	PCC 73109	19207	SAMN04422304 	PRJNA308952	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001521855.1 	3.29868	49.3382	chromosome:NZ_CP013998.1/CP013998.1; plasmid unnamed1:NZ_CP013999.1/CP013999.1; plasmid unnamed2:NZ_CP014000.1/CP014000.1; plasmid unnamed3:NZ_CP014001.1/CP014001.1; plasmid unnamed4:NZ_CP014002.1/CP014002.1; plasmid unnamed5:NZ_CP014003.1/CP014003.1	-	6	3125	3046	2016/01/21	2016/03/28	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001521855.1_ASM152185v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001521855.1_ASM152185v1
Synechococcus sp. PCC 7003	PCC 7003	19207	SAMN04422302 	PRJNA308952	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001693255.1 	3.34509	49.3031	chromosome:NZ_CP016474.1/CP016474.1; plasmid unnamed1:NZ_CP016475.1/CP016475.1; plasmid unnamed2:NZ_CP016476.1/CP016476.1	-	3	3149	3069	2016/07/25	2016/07/27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001693255.1_ASM169325v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001693255.1_ASM169325v1
Synechococcus sp. PCC 7117	PCC 7117	19207	SAMN04422303 	PRJNA308952	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001693275.1 	3.4321	49.1233	chromosome:NZ_CP016477.1/CP016477.1; plasmid unnamed1:NZ_CP016478.1/CP016478.1; plasmid unnamed2:NZ_CP016479.1/CP016479.1; plasmid unnamed3:NZ_CP016480.1/CP016480.1; plasmid unnamed4:NZ_CP016481.1/CP016481.1; plasmid unnamed5:NZ_CP016482.1/CP016482.1	-	6	3251	3171	2016/07/25	2016/07/27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001693275.1_ASM169327v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001693275.1_ASM169327v1
Synechococcus sp. PCC 8807	PCC 8807	19207	SAMN04422305 	PRJNA308952	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001693295.1 	3.30409	49.3702	chromosome:NZ_CP016483.1/CP016483.1; plasmid unnamed1:NZ_CP016484.1/CP016484.1; plasmid unnamed2:NZ_CP016485.1/CP016485.1; plasmid unnamed3:NZ_CP016486.1/CP016486.1; plasmid unnamed4:NZ_CP016487.1/CP016487.1; plasmid unnamed5:NZ_CP016488.1/CP016488.1; plasmid unnamed6:NZ_CP016489.1/CP016489.1	-	7	3161	3085	2016/07/25	2016/07/27	Complete Genome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001693295.1_ASM169329v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001693295.1_ASM169329v1
Synechococcus sp. WH 8020	WH 8020	19190	SAMN03436066 	PRJNA278997	Terrabacteria group	Cyanobacteria/Melainabacteria group	GCA_001040845.1 	2.66117	53.1	chromosome:NZ_CP011941.1/CP011941.1	-	1	2780	2711	2015/06/26	2015/08/21	Chromosome	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF_001040845.1_ASM104084v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA_001040845.1_ASM104084v1
